文件,中文字符串,替换值
storage_prefers.py,或,Or
storage_prefers.py,值,Value
storage_prefers.py,和,And
storage_source_location.py,会在系统默认文件浏览器中打开并选中文件,Opens and selects the file in the system file browser
storage_source_location.py,支持在系统文件浏览器中打开和定位文件,Supports opening and locating files in the system file browser
storage_source_location.py,在系统文件浏览器中打开和显示文件,Open and show file in the system file browser
storage_source_location.py,用于在文件系统中定位和操作资源,Used to locate and operate assets in the file system
storage_source_location.py,支持通过多种方式定位资源,Supports locating assets in multiple ways
storage_source_location.py,在文件浏览器中显示资源,Show asset in the file browser
storage_source_location.py,获取资源的详细路径信息,Get detailed asset path info
storage_source_location.py,用于资源和文件夹定位,Used for asset and folder locating
storage_source_location.py,要执行的资源定位操作,Asset-locating operation to perform
storage_source_location.py,支持多种资源定位操作,Supports multiple locating operations
storage_source_location.py,窗口中快速定位资源,Quickly locate asset in the window
storage_source_location.py,中产生高亮动画效果,Highlight animation in
storage_source_location.py,资源定位操作类型,Asset locating operation type
storage_source_location.py,获取资源路径信息,Get asset path info
storage_source_location.py,在文件浏览器显示,Show in file browser
storage_source_location.py,不选中特定文件,Do not select a specific file
storage_source_location.py,全局唯一标识符,Globally unique identifier
storage_source_location.py,路径或系统路径,Path or system path
storage_source_location.py,窗口中高亮资源,Highlight asset in window
storage_source_location.py,只打开文件夹,Open folder only
storage_source_location.py,或资源的实例,Or asset instance
storage_source_location.py,资源定位工具,Asset locating tool
storage_source_location.py,选择场景中的,Select in scene
storage_source_location.py,或资源的名称,Or asset name
storage_source_location.py,或项目资源,Or project asset
storage_source_location.py,文件夹路径,Folder path
storage_source_location.py,资源管理器,Asset explorer
storage_source_location.py,绝对路径等,Absolute path, etc.
storage_source_location.py,打开文件夹,Open folder
storage_source_location.py,文件浏览,File browsing
storage_source_location.py,路径查询,Path query
storage_source_location.py,对象名称,Object name
storage_source_location.py,获取路径,Get path
storage_source_location.py,资源定位,Asset locating
storage_source_location.py,注意事项,Notes
storage_source_location.py,对象选择,Object selection
storage_source_location.py,示例用法,Example usage
storage_source_location.py,选择资源,Select asset
storage_source_location.py,资源路径,Asset path
storage_source_location.py,定位资源,Locate asset
storage_source_location.py,二级工具,Secondary tool
storage_source_location.py,高亮显示,Highlight
storage_source_location.py,文件夹,Folder
storage_source_location.py,资源的,Of asset
storage_source_location.py,适用于,Suitable for
storage_source_location.py,操作,Operation
storage_source_location.py,资源,Asset
storage_source_location.py,打开,Open
storage_source_location.py,路径,Path
storage_source_location.py,通过,Via
storage_source_location.py,实例,Instance
storage_source_location.py,名称,Name
storage_source_location.py,工具,Tool
storage_source_location.py,包括,Including
storage_source_location.py,用于,Used for
storage_source_location.py,在,In
storage_source_location.py,如,Such as
tag_layer.py,添加层级时会自动分配到第一个空闲槽位,Automatically assigns to the first free slot when adding a layer
tag_layer.py,支持多种标签和层级管理功能,Supports tag and layer management features
tag_layer.py,标签和层级管理工具,Tags & layers management tool
tag_layer.py,不能删除内置标签,Built-in tags cannot be removed
tag_layer.py,添加自定义标签,Add custom tag
tag_layer.py,添加自定义层级,Add custom layer
tag_layer.py,用于管理项目的,Used to manage project
tag_layer.py,获取所有层级,Get all layers
tag_layer.py,获取项目层级,Get project layers
tag_layer.py,获取层级列表,Get layer list
tag_layer.py,要执行的标签,Tag operation to perform
tag_layer.py,只能操作索引,Only index operations are allowed
tag_layer.py,获取标签列表,Get tag list
tag_layer.py,获取项目标签,Get project tags
tag_layer.py,获取所有标签,Get all tags
tag_layer.py,支持的功能,Supported features
tag_layer.py,为系统保留,Reserved for system
tag_layer.py,的用户层级,User layer
tag_layer.py,为用户层级,For user layers
tag_layer.py,层级操作,Layer operations
tag_layer.py,标签名称,Tag name
tag_layer.py,层级索引,Layer index
tag_layer.py,层级名称,Layer name
tag_layer.py,移除层级,Remove layer
tag_layer.py,层级管理,Layer management
tag_layer.py,注意事项,Notes
tag_layer.py,示例用法,Example usage
tag_layer.py,添加标签,Add tag
tag_layer.py,标签管理,Tag management
tag_layer.py,移除标签,Remove tag
tag_layer.py,二级工具,Secondary tool
tag_layer.py,操作类型,Operation type
tag_layer.py,添加层级,Add layer
tag_layer.py,适用于,Suitable for
tag_layer.py,添加,Add
tag_layer.py,操作,Operation
tag_layer.py,索引,Index
tag_layer.py,删除,Delete
tag_layer.py,用于,Used for
tag_layer.py,如,Such as
tag_layer.py,和,And
ugui_layout.py,锚点预设将基于元素当前位置而不是父容器的预设位置,Anchor presets are based on the element’s current position, not the parent’s preset
ugui_layout.py,将锚点设置到元素自己的顶部中心位置,Set anchors to the element’s own top-center
ugui_layout.py,是否在更改锚点预设时保持视觉位置,Whether to keep visual position when changing presets
ugui_layout.py,将锚点设置到元素自身对应的位置,Set anchors to the element’s corresponding self position
ugui_layout.py,此函数仅用于提供参数说明和文档,This function only provides parameter docs
ugui_layout.py,使用锚点预设拉伸填充父容器,Use anchor preset to stretch and fill parent
ugui_layout.py,使用锚点预设适配不同分辨率,Use anchor presets to adapt to resolutions
ugui_layout.py,基于元素当前位置设置锚点,Set anchors based on current position
ugui_layout.py,设置锚点预设到顶部中心,Set anchor preset to top-center
ugui_layout.py,如需设置锚点预设请使用,To set anchor presets, use
ugui_layout.py,在父对象中的子对象索引,Child index in parent
ugui_layout.py,使用双状态树架构处理,Use dual-state tree architecture
ugui_layout.py,使用预定义的锚点配置,Use predefined anchor configs
ugui_layout.py,元素的当前布局属性,Current layout properties of the element
ugui_layout.py,可同时设置多个属性,Set multiple properties at once
ugui_layout.py,设置固定位置和大小,Set fixed position and size
ugui_layout.py,获取所有属性信息,Get all property info
ugui_layout.py,实现锚点钉到四角,Pin anchors to all four corners
ugui_layout.py,支持多种布局操作,Supports multiple layout operations
ugui_layout.py,元素的位置和尺寸,Element position and size
ugui_layout.py,执行综合布局修改,Perform comprehensive layout changes
ugui_layout.py,不使用锚点预设,Do not use anchor presets
ugui_layout.py,的层次结构路径,Hierarchy path of
ugui_layout.py,不包含锚点预设,Without anchor presets
ugui_layout.py,类型的布局操作,Type of layout operation
ugui_layout.py,用于修改和获取,Used to modify and get
ugui_layout.py,实际调用请使用,Use in actual calls
ugui_layout.py,统一调整多个,Uniformly adjust multiple
ugui_layout.py,锚点钉到四角,Anchors to corners
ugui_layout.py,设置锚点预设,Set anchor preset
ugui_layout.py,锚点预设类型,Anchor preset type
ugui_layout.py,批量布局操作,Batch layout operations
ugui_layout.py,保持视觉位置,Keep visual position
ugui_layout.py,获取布局属性,Get layout properties
ugui_layout.py,锚点最小值,Anchor min
ugui_layout.py,运行时修改,Runtime modifications
ugui_layout.py,锚点最大值,Anchor max
ugui_layout.py,的布局属性,Layout properties of
ugui_layout.py,元素的位置,Element position
ugui_layout.py,响应式布局,Responsive layout
ugui_layout.py,操作不支持,Operation not supported
ugui_layout.py,锚点等属性,Anchor and related properties
ugui_layout.py,层级索引,Hierarchy index
ugui_layout.py,尺寸增量,Size delta
ugui_layout.py,锚点自身,Anchor self
ugui_layout.py,第二棵树,Second tree
ugui_layout.py,主要操作,Primary operations
ugui_layout.py,精确控制,Precise control
ugui_layout.py,布局工具,Layout tool
ugui_layout.py,元素布局,Element layout
ugui_layout.py,其他预设,Other presets
ugui_layout.py,二级工具,Secondary tool
ugui_layout.py,布局设计,Layout design
ugui_layout.py,布局修改,Layout modifications
ugui_layout.py,适用场景,Applicable scenarios
ugui_layout.py,智能布局,Smart layout
ugui_layout.py,第一棵树,First tree
ugui_layout.py,对象路径,Object path
ugui_layout.py,目标定位,Target positioning
ugui_layout.py,重要提示,Important notes
ugui_layout.py,示例用法,Example usage
ugui_layout.py,专门处理,Specially handles
ugui_layout.py,获取属性,Get properties
ugui_layout.py,修改操作,Modify operations
ugui_layout.py,综合布局,Composite layout
ugui_layout.py,属性获取,Property retrieval
ugui_layout.py,特殊参数,Special parameters
ugui_layout.py,操作类型,Operation type
ugui_layout.py,锚点预设,Anchor presets
ugui_layout.py,锚点位置,Anchor position
ugui_layout.py,适用于,Suitable for
ugui_layout.py,不支持,Not supported
ugui_layout.py,等同于,Equivalent to
ugui_layout.py,轴心点,Pivot
ugui_layout.py,的实例,Instance of
ugui_layout.py,获取,Get
ugui_layout.py,使用,Use
ugui_layout.py,默认,Default
ugui_layout.py,设置,Set
ugui_layout.py,实例,Instance
ugui_layout.py,基于,Based on
ugui_layout.py,功能,Function
ugui_layout.py,函数,Function
ugui_layout.py,操作,Operation
ugui_layout.py,参数,Parameters
ugui_layout.py,动态,Dynamic
ugui_layout.py,大小,Size
ugui_layout.py,当为,When it is
ugui_layout.py,元素,Element
ugui_layout.py,属性,Property
ugui_layout.py,注意,Note
ugui_layout.py,调整,Adjust
ugui_layout.py,示例,Example
ugui_layout.py,时,When
ui_rule_manage.py,是否在应用前备份对象,Whether to back up objects before applying
ui_rule_manage.py,制作规则文件管理工具,Rule file management tool
ui_rule_manage.py,是否保持对象层级结构,Whether to keep object hierarchy
ui_rule_manage.py,是否创建缺失的组件,Whether to create missing components
ui_rule_manage.py,目标对象名称或路径,Target object name or path
ui_rule_manage.py,是否移除多余的组件,Whether to remove extra components
ui_rule_manage.py,是否仅验证而不应用,Validate only without applying
ui_rule_manage.py,是否记录更改日志,Whether to log changes
ui_rule_manage.py,是否强制应用规则,Whether to force apply rules
ui_rule_manage.py,应用规则到对象,Apply rules to object
ui_rule_manage.py,删除和获取规则,Delete and get rules
ui_rule_manage.py,规则文件路径,Rule file path
ui_rule_manage.py,应用条件字典,Apply-conditions dictionary
ui_rule_manage.py,规则属性字典,Rule properties dictionary
ui_rule_manage.py,标准按钮规则,Standard button rule
ui_rule_manage.py,列出所有规则,List all rules
ui_rule_manage.py,修改现有规则,Modify existing rule
ui_rule_manage.py,文本显示规则,Text display rule
ui_rule_manage.py,验证规则列表,Validation rules list
ui_rule_manage.py,是否激活规则,Whether the rule is active
ui_rule_manage.py,获取规则信息,Get rule info
ui_rule_manage.py,冲突规则列表,Conflicting rules list
ui_rule_manage.py,面板布局规则,Panel layout rule
ui_rule_manage.py,应用效果字典,Apply-effects dictionary
ui_rule_manage.py,约束条件字典,Constraints dictionary
ui_rule_manage.py,制作规则文件,Create rule file
ui_rule_manage.py,依赖规则列表,Dependent rules list
ui_rule_manage.py,应用前备份,Backup before applying
ui_rule_manage.py,创建新规则,Create new rule
ui_rule_manage.py,支持的操作,Supported operations
ui_rule_manage.py,规则优先级,Rule priority
ui_rule_manage.py,元数据字典,Metadata dictionary
ui_rule_manage.py,删除规则,Delete rule
ui_rule_manage.py,模板名称,Template name
ui_rule_manage.py,规则作者,Rule author
ui_rule_manage.py,导入格式,Import format
ui_rule_manage.py,约束条件,Constraints
ui_rule_manage.py,包括创建,Including creation
ui_rule_manage.py,导出格式,Export format
ui_rule_manage.py,是否激活,Whether active
ui_rule_manage.py,保持层级,Keep hierarchy
ui_rule_manage.py,规则属性,Rule properties
ui_rule_manage.py,规则版本,Rule version
ui_rule_manage.py,规则名称,Rule name
ui_rule_manage.py,记录更改,Record changes
ui_rule_manage.py,规则分类,Rule category
ui_rule_manage.py,验证规则,Validate rules
ui_rule_manage.py,依赖规则,Dependent rules
ui_rule_manage.py,规则类型,Rule type
ui_rule_manage.py,应用条件,Apply conditions
ui_rule_manage.py,标签列表,Tag list
ui_rule_manage.py,修改日期,Modified date
ui_rule_manage.py,移除多余,Remove redundancies
ui_rule_manage.py,强制应用,Force apply
ui_rule_manage.py,应用效果,Apply effects
ui_rule_manage.py,规则描述,Rule description
ui_rule_manage.py,目标对象,Target object
ui_rule_manage.py,操作类型,Operation type
ui_rule_manage.py,二级工具,Secondary tool
ui_rule_manage.py,冲突规则,Conflicting rules
ui_rule_manage.py,创建缺失,Create missing
ui_rule_manage.py,创建日期,Created date
ui_rule_manage.py,元数据,Metadata
ui_rule_manage.py,优先级,Priority
ui_rule_manage.py,仅验证,Validate only
ui_rule_manage.py,修改,Modify
ui_rule_manage.py,管理,Manage
ui_rule_manage.py,标签,Tags
