文件,中文字符串,替换值
Editor\GUI\McpDebugWindow.cs,切换,Switch
Editor\GUI\McpDebugWindow.cs,隐藏,Hide
Editor\GUI\McpDebugWindow.cs,时间,Time
Editor\GUI\McpDebugWindow.cs,来源,Source
Editor\GUI\McpDebugWindow.cs,行,Line
Editor\GUI\McpDebugWindow.cs,或,Or
Editor\GUI\McpDebugWindow.cs,如,Such as
Editor\GUI\McpDebugWindow.cs,空,Empty
Editor\GUI\McpDebugWindow.cs,块,Block
Editor\GUI\McpDebugWindow.cs,非,Non
Editor\GUI\McpDebugWindow.cs,从,From
Editor\GUI\McpDebugWindow.cs,的,Of
Editor\GUI\McpDebugWindow.cs,在,At
Editor\GUI\McpDebugWindow.cs,吗,?
Editor\GUI\McpDebugWindow.cs,和,And
Editor\GUI\NodeSpriteInfoDrawer.cs,并支持载入图片按钮,And support load picture button
Editor\GUI\NodeSpriteInfoDrawer.cs,计算字段的矩形区域,Calculate field rectangle area
Editor\GUI\NodeSpriteInfoDrawer.cs,三个标签的总宽度,Total width of three labels
Editor\GUI\NodeSpriteInfoDrawer.cs,绘制标签和字段,Draw label and field
Editor\GUI\NodeSpriteInfoDrawer.cs,不缩进子属性,Don't indent child property
Editor\GUI\NodeSpriteInfoDrawer.cs,显示在同一行,Show in one line
Editor\GUI\NodeSpriteInfoDrawer.cs,每个字段占,Each field occupies
Editor\GUI\NodeSpriteInfoDrawer.cs,的自定义,Customized of
Editor\GUI\NodeSpriteInfoDrawer.cs,恢复缩进,Restore indent
Editor\GUI\NodeSpriteInfoDrawer.cs,标签宽度,Label width
Editor\GUI\NodeSpriteInfoDrawer.cs,间距,Spacing
Editor\GUI\NodeSpriteInfoDrawer.cs,宽度,Width
Editor\GUI\NodeSpriteInfoDrawer.cs,和,And
Editor\GUI\NodeSpriteInfoDrawer.cs,让,Let
Editor\GUI\UIDefineRuleObjectEditor.cs,优先选择在指定路径下的文件,Prefer file under specified path
Editor\GUI\UIDefineRuleObjectEditor.cs,如果在指定路径下没找到,If not found under specified path
Editor\GUI\UIDefineRuleObjectEditor.cs,构建完整的文件路径,Build complete file path
Editor\GUI\UIDefineRuleObjectEditor.cs,解析结果并构建消息,Parse result and construct message
Editor\GUI\UIDefineRuleObjectEditor.cs,请基于这些信息基于,Please base on this info
Editor\GUI\UIDefineRuleObjectEditor.cs,制作规则和配置信息,Create rules and config info
Editor\GUI\UIDefineRuleObjectEditor.cs,拷贝内容到剪贴板,Copy content to clipboard
Editor\GUI\UIDefineRuleObjectEditor.cs,使用第一个找到的,Use first found
Editor\GUI\UIDefineRuleObjectEditor.cs,如果直接加载失败,If direct load fails
Editor\GUI\UIDefineRuleObjectEditor.cs,如果立即有结果,If immediate result
Editor\GUI\UIDefineRuleObjectEditor.cs,自定义折叠标题,Customize collapse title
Editor\GUI\UIDefineRuleObjectEditor.cs,获取序列化属性,Get serialized property
Editor\GUI\UIDefineRuleObjectEditor.cs,字符串以便解析,String for parsing
Editor\GUI\UIDefineRuleObjectEditor.cs,绘制基本属性,Draw basic property
Editor\GUI\UIDefineRuleObjectEditor.cs,将结果转换为,Convert result to
Editor\GUI\UIDefineRuleObjectEditor.cs,注册完成回调,Register completion callback
Editor\GUI\UIDefineRuleObjectEditor.cs,批量载入所有,Load all in batch
Editor\GUI\UIDefineRuleObjectEditor.cs,规则到剪贴板,Rules to clipboard
Editor\GUI\UIDefineRuleObjectEditor.cs,拷贝到剪贴板,Copy to clipboard
Editor\GUI\UIDefineRuleObjectEditor.cs,尝试查找文件,Attempt to find file
Editor\GUI\UIDefineRuleObjectEditor.cs,验证并获取,Validate and get
Editor\GUI\UIDefineRuleObjectEditor.cs,每个字段占,Each field occupies
Editor\GUI\UIDefineRuleObjectEditor.cs,构建发送到,Build send to
Editor\GUI\UIDefineRuleObjectEditor.cs,的自定义,Customize of
Editor\GUI\UIDefineRuleObjectEditor.cs,创建参数,Create parameter
Editor\GUI\UIDefineRuleObjectEditor.cs,规则信息,Rule info
Editor\GUI\UIDefineRuleObjectEditor.cs,直接使用,Direct use
Editor\GUI\UIDefineRuleObjectEditor.cs,操作按钮,Operation button
Editor\GUI\UIDefineRuleObjectEditor.cs,项目中的,In project
Editor\GUI\UIDefineRuleObjectEditor.cs,界面开发,UI development
Editor\GUI\UIDefineRuleObjectEditor.cs,公共方法,Public method
Editor\GUI\UIDefineRuleObjectEditor.cs,折叠状态,Collapse state
Editor\GUI\UIDefineRuleObjectEditor.cs,尝试加载,Attempt to load
Editor\GUI\UIDefineRuleObjectEditor.cs,以下是,As below
Editor\GUI\UIDefineRuleObjectEditor.cs,的消息,Message of
Editor\GUI\UIDefineRuleObjectEditor.cs,列表,List
Editor\GUI\UIDefineRuleObjectEditor.cs,规则,Rule
Editor\GUI\UIDefineRuleObjectEditor.cs,按钮,Button
Editor\GUI\UIDefineRuleObjectEditor.cs,调用,Call
Editor\GUI\UIDefineRuleObjectEditor.cs,宽度,Width
Editor\GUI\UIDefineRuleObjectEditor.cs,使用,Use
Editor\GUI\UIDefineRuleObjectEditor.cs,绘制,Draw
Editor\GUI\UIDefineRuleObjectEditor.cs,包含,Contain
Editor\GUI\UIDefineRuleObjectEditor.cs,创建,Create
Editor\GUI\UIDefineRuleObjectEditor.cs,实例,Instance
Editor\GUI\UIDefineRuleObjectEditor.cs,名称,Name
Editor\GUI\UIDefineRuleObjectEditor.cs,清空,Clear
Editor\GUI\UIDefineRuleObjectEditor.cs,获取,Get
Editor\GUI\UIDefineRuleObjectEditor.cs,实现,Implement
Editor\GUI\UIDefineRuleObjectEditor.cs,拷贝,Copy
Editor\GUI\UIDefineRuleObjectEditor.cs,的,Of
Editor\GUI\UIDefineRuleObjectEditor.cs,和,And
Editor\Model\FigmaSettings.cs,不会被提交到版本控制,Will not be committed to version control
Editor\Model\FigmaSettings.cs,预览图最大尺寸,Maximum size of preview image
Editor\Model\FigmaSettings.cs,集成相关的配置,Integration related configuration
Editor\Model\FigmaSettings.cs,自动转换图片为,Automatically convert images to
Editor\Model\FigmaSettings.cs,预览图保存路径,Preview image save path
Editor\Model\FigmaSettings.cs,自动下载图片,Automatically download images
Editor\Model\FigmaSettings.cs,初始化默认值,Initialize default values
Editor\Model\FigmaSettings.cs,图片缩放倍数,Image scale factor
Editor\Model\FigmaSettings.cs,资产数据路径,Asset data path
Editor\Model\FigmaSettings.cs,默认下载路径,Default download path
Editor\Model\FigmaSettings.cs,引擎支持效果,Engine-supported features
Editor\Model\FigmaSettings.cs,用于管理与,Used to manage and
Editor\Model\FigmaSettings.cs,构造函数,Constructor
Editor\Model\FigmaSettings.cs,访问令牌,Access token
Editor\Model\FigmaSettings.cs,保存在,Save in
Editor\Model\FigmaSettings.cs,设置类,Settings class
Editor\Model\FigmaSettings.cs,格式,Format
Editor\Model\FigmaSettings.cs,中,In
Editor\Model\McpExecuteRecordObject.cs,这个方法会在任何记录操作前被调用,This method is called before any record operation
Editor\Model\McpExecuteRecordObject.cs,将该分组的记录移动到默认分组,Move the records of this group to the default group
Editor\Model\McpExecuteRecordObject.cs,确保分组功能已启用并初始化,Ensure grouping feature is enabled and initialized
Editor\Model\McpExecuteRecordObject.cs,不使用分组时返回全局记录,Return global records when grouping is not used
Editor\Model\McpExecuteRecordObject.cs,条旧记录迁移到默认分组,Old records migrated to default group
Editor\Model\McpExecuteRecordObject.cs,如果删除的是当前分组,If the deleted group is the current group
Editor\Model\McpExecuteRecordObject.cs,用于存放未分类的记录,Used to store uncategorized records
Editor\Model\McpExecuteRecordObject.cs,传统模式下也需要保存,Need to save in traditional mode as well
Editor\Model\McpExecuteRecordObject.cs,迁移旧记录到默认分组,Migrate old records to default group
Editor\Model\McpExecuteRecordObject.cs,确保分组功能已初始化,Ensure grouping feature is initialized
Editor\Model\McpExecuteRecordObject.cs,添加到全局记录列表,Add to global record list
Editor\Model\McpExecuteRecordObject.cs,清空当前分组的记录,Clear records in the current group
Editor\Model\McpExecuteRecordObject.cs,获取当前分组的记录,Get records in the current group
Editor\Model\McpExecuteRecordObject.cs,移动记录到指定分组,Move records to the specified group
Editor\Model\McpExecuteRecordObject.cs,向当前分组添加记录,Add records to the current group
Editor\Model\McpExecuteRecordObject.cs,已清空当前分组记录,Current group records have been cleared
Editor\Model\McpExecuteRecordObject.cs,向指定分组添加记录,Add records to the specified group
Editor\Model\McpExecuteRecordObject.cs,方法来持久化数据,Method to persist data
Editor\Model\McpExecuteRecordObject.cs,不能删除默认分组,Cannot delete default group
Editor\Model\McpExecuteRecordObject.cs,是否启用分组功能,Whether to enable grouping feature
Editor\Model\McpExecuteRecordObject.cs,如果已经初始化过,If already initialized
Editor\Model\McpExecuteRecordObject.cs,记录也能正确保存,Records can also be saved correctly
Editor\Model\McpExecuteRecordObject.cs,获取分组统计信息,Get group statistics info
Editor\Model\McpExecuteRecordObject.cs,检查分组是否存在,Check if the group exists
Editor\Model\McpExecuteRecordObject.cs,确保只初始化一次,Ensure initialization only occurs once
Editor\Model\McpExecuteRecordObject.cs,切换到指定分组,Switch to the specified group
Editor\Model\McpExecuteRecordObject.cs,添加到当前分组,Add to the current group
Editor\Model\McpExecuteRecordObject.cs,切换到默认分组,Switch to the default group
Editor\Model\McpExecuteRecordObject.cs,列表中有旧数据,There is old data in the list
Editor\Model\McpExecuteRecordObject.cs,确保有默认分组,Ensure there is a default group
Editor\Model\McpExecuteRecordObject.cs,初始化默认分组,Initialize the default group
Editor\Model\McpExecuteRecordObject.cs,是否为默认分组,Whether it is the default group
Editor\Model\McpExecuteRecordObject.cs,当前选中的分组,Currently selected group
Editor\Model\McpExecuteRecordObject.cs,迁移到默认分组,Migrate to the default group
Editor\Model\McpExecuteRecordObject.cs,仅清空当前分组,Clear only the current group
Editor\Model\McpExecuteRecordObject.cs,如果当前分组,If current group
Editor\Model\McpExecuteRecordObject.cs,禁止清空全部,Prohibit clearing all
Editor\Model\McpExecuteRecordObject.cs,启用分组功能,Enable grouping feature
Editor\Model\McpExecuteRecordObject.cs,使用分组模式,Use grouping mode
Editor\Model\McpExecuteRecordObject.cs,分组管理功能,Group management function
Editor\Model\McpExecuteRecordObject.cs,获取当前分组,Get current group
Editor\Model\McpExecuteRecordObject.cs,系统默认分组,System default group
Editor\Model\McpExecuteRecordObject.cs,分组显示名称,Group display name
Editor\Model\McpExecuteRecordObject.cs,分组不存在,Group does not exist
Editor\Model\McpExecuteRecordObject.cs,重置为默认,Reset to default
Editor\Model\McpExecuteRecordObject.cs,重命名分组,Rename group
Editor\Model\McpExecuteRecordObject.cs,创建新分组,Create new group
Editor\Model\McpExecuteRecordObject.cs,初始化标记,Initialization flag
Editor\Model\McpExecuteRecordObject.cs,确保保存,Ensure saving
Editor\Model\McpExecuteRecordObject.cs,分组描述,Group description
Editor\Model\McpExecuteRecordObject.cs,分组唯一,Group unique
Editor\Model\McpExecuteRecordObject.cs,直接返回,Return directly
Editor\Model\McpExecuteRecordObject.cs,默认分组,Default group
Editor\Model\McpExecuteRecordObject.cs,确保即使,Ensure even if
Editor\Model\McpExecuteRecordObject.cs,记录来源,Source of record
Editor\Model\McpExecuteRecordObject.cs,删除分组,Delete group
Editor\Model\McpExecuteRecordObject.cs,传统模式,Traditional mode
Editor\Model\McpExecuteRecordObject.cs,获取分组,Get group
Editor\Model\McpExecuteRecordObject.cs,默认启用,Enabled by default
Editor\Model\McpExecuteRecordObject.cs,如果全局,If global
Editor\Model\McpExecuteRecordObject.cs,创建时间,Creation time
Editor\Model\McpExecuteRecordObject.cs,执行时间,Execution time
Editor\Model\McpExecuteRecordObject.cs,未开启,Not enabled
Editor\Model\McpExecuteRecordObject.cs,已存在,Already exists
Editor\Model\McpExecuteRecordObject.cs,个记录,Record(s)
Editor\Model\McpExecuteRecordObject.cs,分组,Group
Editor\Model\McpExecuteRecordObject.cs,成功,Success
Editor\Model\McpExecuteRecordObject.cs,使用,Use
Editor\Model\McpExecuteRecordObject.cs,毫秒,Millisecond
Editor\Model\McpExecuteRecordObject.cs,已将,Already
Editor\Model\McpExecuteRecordObject.cs,无效,Invalid
Editor\Model\McpExecuteRecordObject.cs,失败,Failure
Editor\Model\McpExecuteRecordObject.cs,或,Or
Editor\Model\McpSettings.cs,相关的配置和偏好设置,Related configuration and preferences
Editor\Model\McpSettings.cs,设置管理器,Settings manager
Editor\Model\McpSettings.cs,设置实例,Settings instance
Editor\Model\McpSettings.cs,用于管理,Used for management
Editor\Model\McpSettings.cs,保存设置,Save settings
Editor\Model\McpSettings.cs,保存到,Save to
Editor\Model\McpSettings.cs,设置,Setting
Editor\Model\McpSettings.cs,获取,Get
Editor\Model\McpUISettings.cs,下载界面控件需要的图片资源,Download image resources required by UI controls
Editor\Model\McpUISettings.cs,将图片信息记录到规则文件,Record image information to a rule file
Editor\Model\McpUISettings.cs,设置稿的坐标系已统一为,The coordinate system of the design draft has been unified as
Editor\Model\McpUISettings.cs,记录更改方式到规则文件,Record modification method to rule file
Editor\Model\McpUISettings.cs,文本相关组件必须使用,Text-related components must use
Editor\Model\McpUISettings.cs,下载并分析设计稿结构,Download and analyze the structure of the design draft
Editor\Model\McpUISettings.cs,和根容器并设置好尺寸,And the root container and set the proper size
Editor\Model\McpUISettings.cs,按照设计稿创建必要的,Create necessary (items) according to the design draft
Editor\Model\McpUISettings.cs,组件名称和原来的节点,Component name and the original node
Editor\Model\McpUISettings.cs,配置动画和过渡效果,Configure animation and transition effects
Editor\Model\McpUISettings.cs,从序列化数据中恢复,Restore from serialized data
Editor\Model\McpUISettings.cs,测试不同分辨率适配,Test adaptation for different resolutions
Editor\Model\McpUISettings.cs,工具和设计稿信息,Tool and design draft information
Editor\Model\McpUISettings.cs,测试多平台兼容性,Test multi-platform compatibility
Editor\Model\McpUISettings.cs,配置字体和本地化,Configure fonts and localization
Editor\Model\McpUISettings.cs,进行界面布局调整,Adjust UI layout
Editor\Model\McpUISettings.cs,根据项目需求定制,Customize according to project requirements
Editor\Model\McpUISettings.cs,层级进行组件调整,Adjust components by hierarchy
Editor\Model\McpUISettings.cs,优化性能和内存,Optimize performance and memory
Editor\Model\McpUISettings.cs,丰富的动画支持,Richer animation support
Editor\Model\McpUISettings.cs,优化响应式布局,Optimize responsive layout
Editor\Model\McpUISettings.cs,响应式设计优先,Responsive design first
Editor\Model\McpUISettings.cs,通用字体文件夹,Common font folder
Editor\Model\McpUISettings.cs,处理输入和事件,Handle input and events
Editor\Model\McpUISettings.cs,配置锚点和布局,Configure anchor points and layout
Editor\Model\McpUISettings.cs,灵活的渲染管线,Flexible rendering pipeline
Editor\Model\McpUISettings.cs,处理事件和交互,Handle events and interactions
Editor\Model\McpUISettings.cs,通用精灵文件夹,Common sprite folder
Editor\Model\McpUISettings.cs,类型获取默认的,Get the default by type
Editor\Model\McpUISettings.cs,可扩展架构设计,Extensible architecture design
Editor\Model\McpUISettings.cs,通用纹理文件夹,Common texture folder
Editor\Model\McpUISettings.cs,性能优化优先,Performance optimization first
Editor\Model\McpUISettings.cs,配置渲染管线,Configure rendering pipeline
Editor\Model\McpUISettings.cs,类型数据列表,Type data list
Editor\Model\McpUISettings.cs,工具使用方法,Instructions for tool usage
Editor\Model\McpUISettings.cs,绑定代码逻辑,Bind code logic
Editor\Model\McpUISettings.cs,类型都有数据,All types have data
Editor\Model\McpUISettings.cs,多分辨率适配,Multi-resolution adaptation
Editor\Model\McpUISettings.cs,事件系统独立,Independent event system
Editor\Model\McpUISettings.cs,锚点系统布局,Anchor system layout
Editor\Model\McpUISettings.cs,将下载的图片,Downloaded images
Editor\Model\McpUISettings.cs,配置组件属性,Configure component properties
Editor\Model\McpUISettings.cs,文件定义结构,File definition structure
Editor\Model\McpUISettings.cs,适合移动平台,Suitable for mobile platforms
Editor\Model\McpUISettings.cs,优化屏幕适配,Optimize screen adaptation
Editor\Model\McpUISettings.cs,仅圆角的图片,Only images with rounded corners
Editor\Model\McpUISettings.cs,加载到指定的,Load to the specified (place)
Editor\Model\McpUISettings.cs,支持复杂交互,Support complex interactions
Editor\Model\McpUISettings.cs,测试和调试,Testing and debugging
Editor\Model\McpUISettings.cs,组件化开发,Component-based development
Editor\Model\McpUISettings.cs,到规则文件,To rule file
Editor\Model\McpUISettings.cs,类型的数据,Type's data
Editor\Model\McpUISettings.cs,面板和组件,Panel and component(s)
Editor\Model\McpUISettings.cs,可以不下载,May not need to download
Editor\Model\McpUISettings.cs,跨平台兼容,Cross-platform compatibility
Editor\Model\McpUISettings.cs,记录创建的,Record created
Editor\Model\McpUISettings.cs,可序列化的,Serializable
Editor\Model\McpUISettings.cs,类型的环境,Type's environment
Editor\Model\McpUISettings.cs,当前选择的,Currently selected
Editor\Model\McpUISettings.cs,分析自定义,Analyze customization
Editor\Model\McpUISettings.cs,类型的步骤,Type's steps
Editor\Model\McpUISettings.cs,获取默认的,Get the default
Editor\Model\McpUISettings.cs,编辑器资源,Editor resources
Editor\Model\McpUISettings.cs,中心为原点,Center as origin
Editor\Model\McpUISettings.cs,创建默认的,Create default
Editor\Model\McpUISettings.cs,纹理管理,Texture management
Editor\Model\McpUISettings.cs,按理想的,According to ideal
Editor\Model\McpUISettings.cs,系统需求,System requirements
Editor\Model\McpUISettings.cs,包和组件,Package and component(s)
Editor\Model\McpUISettings.cs,图形支持,Graphics support
Editor\Model\McpUISettings.cs,脚本逻辑,Script logic
Editor\Model\McpUISettings.cs,样式文件,Style file
Editor\Model\McpUISettings.cs,设计需求,Design requirements
Editor\Model\McpUISettings.cs,环境说明,Environment description
Editor\Model\McpUISettings.cs,优化性能,Optimize performance
Editor\Model\McpUISettings.cs,事件系统,Event system
Editor\Model\McpUISettings.cs,标准兼容,Standard compatibility
Editor\Model\McpUISettings.cs,尺寸匹配,Size matching
Editor\Model\McpUISettings.cs,返回当前,Return current
Editor\Model\McpUISettings.cs,类型数据,Type data
Editor\Model\McpUISettings.cs,获取当前,Get current
Editor\Model\McpUISettings.cs,优化重要,Optimize importance
Editor\Model\McpUISettings.cs,序列化的,Serialized
Editor\Model\McpUISettings.cs,构建步骤,Build steps
Editor\Model\McpUISettings.cs,结构文件,Structure file
Editor\Model\McpUISettings.cs,适配规则,Adaptation rule
Editor\Model\McpUISettings.cs,实现核心,Core implementation
Editor\Model\McpUISettings.cs,构建环境,Build environment
Editor\Model\McpUISettings.cs,类型枚举,Type enumeration
Editor\Model\McpUISettings.cs,确保所有,Ensure all
Editor\Model\McpUISettings.cs,组件上,On component
Editor\Model\McpUISettings.cs,可视化,Visualization
Editor\Model\McpUISettings.cs,替换为,Replace with
Editor\Model\McpUISettings.cs,编辑器,Editor
Editor\Model\McpUISettings.cs,样式表,Style sheet
Editor\Model\McpUISettings.cs,尺寸和,Size and
Editor\Model\McpUISettings.cs,坐标系,Coordinate system
Editor\Model\McpUISettings.cs,序列化,Serialization
Editor\Model\McpUISettings.cs,初始化,Initialization
Editor\Model\McpUISettings.cs,自定义,Customize
Editor\Model\McpUISettings.cs,直接将,Directly (put)
Editor\Model\McpUISettings.cs,现代,Modern
Editor\Model\McpUISettings.cs,架构,Architecture
Editor\Model\McpUISettings.cs,和根,And root
Editor\Model\McpUISettings.cs,使用,Use
Editor\Model\McpUISettings.cs,优化,Optimize
Editor\Model\McpUISettings.cs,界面,Interface
Editor\Model\McpUISettings.cs,组件,Component
Editor\Model\McpUISettings.cs,创建,Create
Editor\Model\McpUISettings.cs,绑定,Bind
Editor\Model\McpUISettings.cs,设置,Setting
Editor\Model\McpUISettings.cs,分析,Analyze
Editor\Model\McpUISettings.cs,回顾,Review
Editor\Model\McpUISettings.cs,纹理,Texture
Editor\Model\McpUISettings.cs,利用,Utilize
Editor\Model\McpUISettings.cs,所有,All
Editor\Model\McpUISettings.cs,支持,Support
Editor\Model\McpUISettings.cs,字体,Font
Editor\Model\McpUISettings.cs,导入,Import
Editor\Model\McpUISettings.cs,根据,According to
Editor\Model\McpUISettings.cs,处理,Process
Editor\Model\McpUISettings.cs,布局,Layout
Editor\Model\McpUISettings.cs,配置,Configuration
Editor\Model\McpUISettings.cs,类型,Type
Editor\Model\McpUISettings.cs,系统,System
Editor\Model\McpUISettings.cs,设计,Design
Editor\Model\McpUISettings.cs,基于,Based on
Editor\Model\McpUISettings.cs,用于,For
Editor\Model\McpUISettings.cs,的,Of
Editor\Model\McpUISettings.cs,将,Will
Editor\Model\McpUISettings.cs,和,And
Editor\Provider\FigmaSettingsProvider.cs,启用这些选项可以避免下载某些可以通过,Enabling these options can avoid downloading certain things that can be (handled) via
Editor\Provider\FigmaSettingsProvider.cs,访问令牌保存在本地编辑器设置中,Access token is saved in local editor settings
Editor\Provider\FigmaSettingsProvider.cs,根据项目需求启用引擎支持效果,Enable engine-supported features based on project requirements
Editor\Provider\FigmaSettingsProvider.cs,节点数据和简化数据的保存位置,Save location for node and simplified data
Editor\Provider\FigmaSettingsProvider.cs,设置合适的下载路径和缩放倍数,Set appropriate download path and scaling factor
Editor\Provider\FigmaSettingsProvider.cs,图片和资源的本地保存位置,Local save location for images and resources
Editor\Provider\FigmaSettingsProvider.cs,包括访问令牌和下载选项,Includes access token and download options
Editor\Provider\FigmaSettingsProvider.cs,中生成个人访问令牌用于,Generate personal access token in (xxx) for
Editor\Provider\FigmaSettingsProvider.cs,功能时保存预览图的位置,Where to save preview images when using the feature
Editor\Provider\FigmaSettingsProvider.cs,下载图片后自动设置为,Automatically set to after downloading images
Editor\Provider\FigmaSettingsProvider.cs,不会被提交到版本控制,Will not be committed to version control
Editor\Provider\FigmaSettingsProvider.cs,控制下载图片的分辨率,Control the resolution of downloaded images
Editor\Provider\FigmaSettingsProvider.cs,控制预览图的最大尺寸,Control the maximum size of preview images
Editor\Provider\FigmaSettingsProvider.cs,访问令牌保存在本地,Access token saved locally
Editor\Provider\FigmaSettingsProvider.cs,获取设计资源的行为,Behavior of obtaining design resources
Editor\Provider\FigmaSettingsProvider.cs,支持运行时动态调整,Support runtime dynamic adjustment
Editor\Provider\FigmaSettingsProvider.cs,原生组件实现的效果,Features implemented by native components
Editor\Provider\FigmaSettingsProvider.cs,生成工具自动创建,Automatically created by generation tool
Editor\Provider\FigmaSettingsProvider.cs,引擎支持效果说明,Engine-supported feature description
Editor\Provider\FigmaSettingsProvider.cs,引擎支持效果设置,Engine-supported feature settings
Editor\Provider\FigmaSettingsProvider.cs,这些设置将影响从,These settings will affect from
Editor\Provider\FigmaSettingsProvider.cs,组件而非下载图片,Components instead of downloaded images
Editor\Provider\FigmaSettingsProvider.cs,预览图最大尺寸,Maximum size of preview image
Editor\Provider\FigmaSettingsProvider.cs,描边效果将使用,Stroke effect will use
Editor\Provider\FigmaSettingsProvider.cs,渐变效果将使用,Gradient effect will use
Editor\Provider\FigmaSettingsProvider.cs,圆角矩形将使用,Round-cornered rectangle will use
Editor\Provider\FigmaSettingsProvider.cs,预览图保存路径,Preview image save path
Editor\Provider\FigmaSettingsProvider.cs,下载设置说明,Download settings description
Editor\Provider\FigmaSettingsProvider.cs,不会被提交到,Will not be committed to
Editor\Provider\FigmaSettingsProvider.cs,使用流程说明,Usage process description
Editor\Provider\FigmaSettingsProvider.cs,默认下载路径,Default download path
Editor\Provider\FigmaSettingsProvider.cs,减少资源占用,Reduce resource usage
Editor\Provider\FigmaSettingsProvider.cs,数据资产路径,Data asset path
Editor\Provider\FigmaSettingsProvider.cs,下载设计资源,Download design resources
Editor\Provider\FigmaSettingsProvider.cs,自动下载图片,Automatically download images
Editor\Provider\FigmaSettingsProvider.cs,图片缩放倍数,Image scaling factor
Editor\Provider\FigmaSettingsProvider.cs,引擎支持效果,Engine-supported features
Editor\Provider\FigmaSettingsProvider.cs,用于高清显示,For high definition display
Editor\Provider\FigmaSettingsProvider.cs,而非下载图片,Instead of downloading images
Editor\Provider\FigmaSettingsProvider.cs,工具中使用,Used in tool
Editor\Provider\FigmaSettingsProvider.cs,自动转换为,Automatically convert to
Editor\Provider\FigmaSettingsProvider.cs,设置提供器,Settings provider
Editor\Provider\FigmaSettingsProvider.cs,引擎对特定,Engine for specific (features)
Editor\Provider\FigmaSettingsProvider.cs,效果的支持,Support for effects
Editor\Provider\FigmaSettingsProvider.cs,窗口中显示,Display in window
Editor\Provider\FigmaSettingsProvider.cs,的集成设置,Integration settings
Editor\Provider\FigmaSettingsProvider.cs,集成配置,Integration configuration
Editor\Provider\FigmaSettingsProvider.cs,圆角支持,Rounded corner support
Editor\Provider\FigmaSettingsProvider.cs,缩放倍数,Scaling factor
Editor\Provider\FigmaSettingsProvider.cs,渐变支持,Gradient support
Editor\Provider\FigmaSettingsProvider.cs,设置说明,Settings description
Editor\Provider\FigmaSettingsProvider.cs,提高性能,Improve performance
Editor\Provider\FigmaSettingsProvider.cs,下载路径,Download path
Editor\Provider\FigmaSettingsProvider.cs,推荐开启,Recommended to enable
Editor\Provider\FigmaSettingsProvider.cs,帮助信息,Help information
Editor\Provider\FigmaSettingsProvider.cs,获取方式,Acquisition method
Editor\Provider\FigmaSettingsProvider.cs,使用流程,Usage process
Editor\Provider\FigmaSettingsProvider.cs,访问令牌,Access token
Editor\Provider\FigmaSettingsProvider.cs,自动保存,Auto save
Editor\Provider\FigmaSettingsProvider.cs,使用说明,Instructions
Editor\Provider\FigmaSettingsProvider.cs,下载设置,Download settings
Editor\Provider\FigmaSettingsProvider.cs,描边支持,Stroke support
Editor\Provider\FigmaSettingsProvider.cs,相关设置,Related settings
Editor\Provider\FigmaSettingsProvider.cs,用于在,Used in
Editor\Provider\FigmaSettingsProvider.cs,安全性,Security
Editor\Provider\FigmaSettingsProvider.cs,如果为,If (it) is
Editor\Provider\FigmaSettingsProvider.cs,初始化,Initialization
Editor\Provider\FigmaSettingsProvider.cs,配置与,Configuration and
Editor\Provider\FigmaSettingsProvider.cs,启用后,After enabling
Editor\Provider\FigmaSettingsProvider.cs,建议,Recommendation
Editor\Provider\FigmaSettingsProvider.cs,像素,Pixel
Editor\Provider\FigmaSettingsProvider.cs,使用,Use
Editor\Provider\FigmaSettingsProvider.cs,通过,Through
Editor\Provider\FigmaSettingsProvider.cs,优势,Advantage
Editor\Provider\FigmaSettingsProvider.cs,组件,Component
Editor\Provider\FigmaSettingsProvider.cs,设置,Setting
Editor\Provider\FigmaSettingsProvider.cs,简介,Introduction
Editor\Provider\FigmaSettingsProvider.cs,访问,Access
Editor\Provider\FigmaSettingsProvider.cs,登录,Login
Editor\Provider\FigmaSettingsProvider.cs,格式,Format
Editor\Provider\FigmaSettingsProvider.cs,配置,Configuration
Editor\Provider\FigmaSettingsProvider.cs,中,In
Editor\Provider\FigmaSettingsProvider.cs,的,Of
Editor\Provider\FigmaSettingsProvider.cs,在,At
Editor\Provider\McpSettingsProvider.cs,能够帮助开发者快速创建高质量的,Can help developers quickly create high-quality
Editor\Provider\McpSettingsProvider.cs,代码管理和项目优化功能,Code management and project optimization features
Editor\Provider\McpSettingsProvider.cs,模型的深度集成,Deep integration of models
Editor\Provider\McpSettingsProvider.cs,在激活时初始化,Initialize on activation
Editor\Provider\McpSettingsProvider.cs,提供了智能的,Provides intelligent
Editor\Provider\McpSettingsProvider.cs,是一个强大的,Is a powerful
Editor\Provider\McpSettingsProvider.cs,绘制完整的,Draw complete
Editor\Provider\McpSettingsProvider.cs,窗口中显示,Display in window
Editor\Provider\McpSettingsProvider.cs,设置提供器,Settings provider
Editor\Provider\McpSettingsProvider.cs,扩展工具,Extension tool
Editor\Provider\McpSettingsProvider.cs,自动保存,Auto save
Editor\Provider\McpSettingsProvider.cs,用于在,Used in
Editor\Provider\McpSettingsProvider.cs,通过与,Through and
Editor\Provider\McpSettingsProvider.cs,生成,Generate
Editor\Provider\McpSettingsProvider.cs,项目,Project
Editor\Provider\McpSettingsProvider.cs,管理,Management
Editor\Provider\McpSettingsProvider.cs,设置,Setting
