文件,中文字符串,替换值
tools\edit_particle_system.py,重力修正,gravity modifier
tools\edit_particle_system.py,初始旋转,initial rotation
tools\edit_particle_system.py,初始速度,initial velocity
tools\edit_particle_system.py,拖尾比率,trail ratio
tools\edit_particle_system.py,二级工具,secondary tool
tools\edit_particle_system.py,示例用法,example usage
tools\edit_particle_system.py,获取属性,get properties
tools\edit_particle_system.py,随机方向,random direction
tools\edit_particle_system.py,噪声模块,noise module
tools\edit_particle_system.py,模拟空间,simulation space
tools\edit_particle_system.py,生命周期,lifetime
tools\edit_particle_system.py,缩放模式,scaling mode
tools\edit_particle_system.py,排序顺序,sorting order
tools\edit_particle_system.py,渲染模块,renderer module
tools\edit_particle_system.py,循环播放,loop
tools\edit_particle_system.py,碰撞反弹,collision bounce
tools\edit_particle_system.py,拖尾模块,trail module
tools\edit_particle_system.py,形状类型,shape type
tools\edit_particle_system.py,碰撞模块,collision module
tools\edit_particle_system.py,碰撞衰减,collision damping
tools\edit_particle_system.py,启用形状,enable shape
tools\edit_particle_system.py,设置属性,set properties
tools\edit_particle_system.py,颜色模块,color module
tools\edit_particle_system.py,特效创建,effect creation
tools\edit_particle_system.py,对象路径,object path
tools\edit_particle_system.py,渲染模式,render mode
tools\edit_particle_system.py,形状半径,shape radius
tools\edit_particle_system.py,模拟速度,simulation speed
tools\edit_particle_system.py,初始颜色,initial color
tools\edit_particle_system.py,旋转模块,rotation module
tools\edit_particle_system.py,专门用于,specially for
tools\edit_particle_system.py,开始延迟,start delay
tools\edit_particle_system.py,属性调整,property tuning
tools\edit_particle_system.py,启用碰撞,enable collision
tools\edit_particle_system.py,是否预热,prewarm
tools\edit_particle_system.py,轨道速度,orbital velocity
tools\edit_particle_system.py,大小模块,size module
tools\edit_particle_system.py,圆弧角度,arc angle
tools\edit_particle_system.py,模拟调试,simulation debug
tools\edit_particle_system.py,模拟时间,simulation time
tools\edit_particle_system.py,碰撞类型,collision type
tools\edit_particle_system.py,材质路径,material path
tools\edit_particle_system.py,锥体角度,cone angle
tools\edit_particle_system.py,操作类型,operation type
tools\edit_particle_system.py,速度模块,velocity module
tools\edit_particle_system.py,动画帧率,animation frame rate
tools\edit_particle_system.py,噪声强度,noise intensity
tools\edit_particle_system.py,初始大小,initial size
tools\edit_particle_system.py,线性速度,linear velocity
tools\edit_particle_system.py,噪声频率,noise frequency
tools\edit_particle_system.py,启用噪声,enable noise
tools\edit_particle_system.py,启用发射,enable emission
tools\edit_particle_system.py,持续时间,duration
tools\edit_particle_system.py,播放控制,playback control
tools\edit_particle_system.py,发射模块,emission module
tools\edit_particle_system.py,主模块,main module
tools\edit_particle_system.py,排序层,sorting layer
tools\edit_particle_system.py,盒子等,box etc
tools\edit_particle_system.py,角速度,angular speed
tools\edit_particle_system.py,适用于,suitable for
tools\edit_particle_system.py,的实例,instance of
tools\edit_particle_system.py,圆形,circle
tools\edit_particle_system.py,循环,loop
tools\edit_particle_system.py,播放,play
tools\edit_particle_system.py,球体,sphere
tools\edit_particle_system.py,暂停,pause
tools\edit_particle_system.py,停止,stop
tools\edit_particle_system.py,速度,speed
tools\edit_particle_system.py,实例,instance
tools\edit_particle_system.py,用于,for
tools\edit_particle_system.py,模拟,simulate
tools\edit_particle_system.py,操作,operation
tools\edit_particle_system.py,锥体,cone
tools\edit_particle_system.py,预热,prewarm
tools\edit_particle_system.py,配置,configuration
tools\edit_particle_system.py,重启,restart
tools\edit_particle_system.py,大小,size
tools\edit_particle_system.py,清除,clear
tools\edit_particle_system.py,度,degrees
tools\edit_particle_system.py,秒,seconds
tools\edit_prefab.py,是否递归搜索子文件夹,recursively search subfolders
tools\edit_prefab.py,是否应用预制体更改,apply prefab changes
tools\edit_prefab.py,是否还原预制体更改,revert prefab changes
tools\edit_prefab.py,是否断开预制体连接,break prefab connection
tools\edit_prefab.py,是否创建预制体变体,create prefab variant
tools\edit_prefab.py,是否连接到预制体,connect to prefab
tools\edit_prefab.py,父对象名称或路径,parent object name or path
tools\edit_prefab.py,提供预制体的创建,provide prefab creation
tools\edit_prefab.py,是否强制执行操作,whether to force execution
tools\edit_prefab.py,预制体资源路径,prefab asset path
tools\edit_prefab.py,中的预制体资源,prefab asset in
tools\edit_prefab.py,应用预制体更改,apply prefab changes
tools\edit_prefab.py,断开预制体连接,break prefab connection
tools\edit_prefab.py,还原预制体更改,revert prefab changes
tools\edit_prefab.py,覆盖现有文件等,overwrite existing files etc
tools\edit_prefab.py,预制体管理工具,prefab management tool
tools\edit_prefab.py,连接到预制体,connect to prefab
tools\edit_prefab.py,实例化时使用,used when instantiating
tools\edit_prefab.py,实例化等操作,instantiate and related actions
tools\edit_prefab.py,父预制体路径,parent prefab path
tools\edit_prefab.py,创建时使用,used when creating
tools\edit_prefab.py,预制体类型,prefab type
tools\edit_prefab.py,预制体变体,prefab variant
tools\edit_prefab.py,变体时使用,used for variant
tools\edit_prefab.py,复制时使用,used when copying
tools\edit_prefab.py,名称或路径,name or path
tools\edit_prefab.py,搜索模式,search mode
tools\edit_prefab.py,缩放比例,scale
tools\edit_prefab.py,断开连接,disconnect
tools\edit_prefab.py,操作类型,operation type
tools\edit_prefab.py,还原更改,revert changes
tools\edit_prefab.py,专门管理,specially manage
tools\edit_prefab.py,强制执行,force execute
tools\edit_prefab.py,创建变体,create variant
tools\edit_prefab.py,标准格式,standard format
tools\edit_prefab.py,解包模式,unpack mode
tools\edit_prefab.py,场景路径,scene path
tools\edit_prefab.py,位置坐标,position coordinates
tools\edit_prefab.py,支持操作,supported operations
tools\edit_prefab.py,目标路径,target path
tools\edit_prefab.py,旋转角度,rotation
tools\edit_prefab.py,获取信息,get info
tools\edit_prefab.py,递归搜索,recursive search
tools\edit_prefab.py,应用更改,apply changes
tools\edit_prefab.py,打包模式,pack mode
tools\edit_prefab.py,实例化,instantiate
tools\edit_prefab.py,创建,create
tools\edit_prefab.py,连接,connect
tools\edit_prefab.py,复制,copy
tools\edit_prefab.py,解包,unpack
tools\edit_prefab.py,打包,pack
tools\edit_prefab.py,搜索,search
tools\edit_prefab.py,修改,modify
tools\edit_prefab.py,如,such as
tools\edit_prefab.py,源,source
tools\edit_scene.py,创建和获取层级结构,create and fetch hierarchy
tools\edit_scene.py,场景管理工具,scene management tool
tools\edit_scene.py,获取场景层级,get scene hierarchy
tools\edit_scene.py,支持的操作,supported operations
tools\edit_scene.py,场景名称,scene name
tools\edit_scene.py,二级工具,secondary tool
tools\edit_scene.py,构建索引,build index
tools\edit_scene.py,资产路径,asset path
tools\edit_scene.py,包括加载,including load
tools\edit_scene.py,操作类型,operation type
tools\edit_scene.py,创建场景,create scene
tools\edit_scene.py,加载场景,load scene
tools\edit_scene.py,保存场景,save scene
tools\edit_scene.py,场景,scene
tools\edit_scene.py,管理,management
tools\edit_scene.py,保存,save
tools\edit_script.py,删除等完整的脚本管理功能,full script management including delete
tools\edit_script.py,可自定义代码或使用模板,custom code or use templates
tools\edit_script.py,返回完整文本和按行数组,return full text and line array
tools\edit_script.py,用于创建时自动生成模板,auto generate template on create
tools\edit_script.py,不提供则自动生成模板,auto generate if not provided
tools\edit_script.py,换行分割的字符串数组,lines split by newline
tools\edit_script.py,创建时会自动生成符合,auto generate compliant on create
tools\edit_script.py,自动创建不存在的目录,auto create missing directories
tools\edit_script.py,并进行基础语法验证,with basic syntax validation
tools\edit_script.py,删除操作使用回收站,use recycle bin for delete
tools\edit_script.py,脚本所在目录路径,script directory path
tools\edit_script.py,脚本生命周期管理,script lifecycle management
tools\edit_script.py,自动触发重新编译,auto trigger recompile
tools\edit_script.py,不能以数字开头,cannot start with a digit
tools\edit_script.py,必须与类名匹配,must match class name
tools\edit_script.py,更新和删除操作,update and delete operations
tools\edit_script.py,规范的代码模板,standard code template
tools\edit_script.py,会自动重新编译,will recompile automatically
tools\edit_script.py,路径支持相对于,path supports relative to
tools\edit_script.py,更新脚本内容,update script content
tools\edit_script.py,安全删除脚本,safely delete script
tools\edit_script.py,脚本基类类型,script base class type
tools\edit_script.py,数字和下划线,digits and underscores
tools\edit_script.py,只能包含字母,letters only
tools\edit_script.py,必须是有效的,must be valid
tools\edit_script.py,脚本名称规则,script naming rules
tools\edit_script.py,读取脚本内容,read script content
tools\edit_script.py,脚本编辑工具,script editing tool
tools\edit_script.py,移到回收站,move to recycle bin
tools\edit_script.py,支持完整的,full support for
tools\edit_script.py,创建新脚本,create new script
tools\edit_script.py,创建时使用,used when creating
tools\edit_script.py,创建时可选,optional on create
tools\edit_script.py,修改脚本后,after script modified
tools\edit_script.py,项目中的,in project
tools\edit_script.py,脚本类型,script type
tools\edit_script.py,命名空间,namespace
tools\edit_script.py,操作类型,operation type
tools\edit_script.py,专门管理,specially manage
tools\edit_script.py,代码内容,code content
tools\edit_script.py,注意事项,notes
tools\edit_script.py,提供创建,provide creation
tools\edit_script.py,二级工具,secondary tool
tools\edit_script.py,脚本路径,script path
tools\edit_script.py,用于管理,used to manage
tools\edit_script.py,默认路径,default path
tools\edit_script.py,括号匹配,bracket matching
tools\edit_script.py,主要操作,main operations
tools\edit_script.py,可以恢复,can be restored
tools\edit_script.py,脚本名称,script name
tools\edit_script.py,脚本文件,script file
tools\edit_script.py,标识符,identifier
tools\edit_script.py,的路径,path of
tools\edit_script.py,扩展名,extension
tools\edit_script.py,相对于,relative to
tools\edit_script.py,默认为,defaults to
tools\edit_script.py,支持的,supported
tools\edit_script.py,创建,create
tools\edit_script.py,更新,update
tools\edit_script.py,要求,requirements
tools\edit_script.py,删除,delete
tools\edit_script.py,读取,read
tools\edit_script.py,不含,without
tools\edit_script.py,等,etc
tools\edit_scriptableobject.py,动态修改已存在资源的属性值,dynamically modify properties of existing assets
tools\edit_scriptableobject.py,获取资源的详细信息和元数据,get detailed info and metadata of assets
tools\edit_scriptableobject.py,如不提供则自动生成唯一路径,auto generate unique path if not provided
tools\edit_scriptableobject.py,快速复制现有配置创建变体,quickly copy config to create variant
tools\edit_scriptableobject.py,中的属性名不区分大小写,property names are case insensitive
tools\edit_scriptableobject.py,资源生命周期管理功能,asset lifecycle management
tools\edit_scriptableobject.py,是否递归搜索子文件夹,recursively search subfolders
tools\edit_scriptableobject.py,角色属性等的数据容器,data containers such as character stats
tools\edit_scriptableobject.py,搜索结果每页的数量,items per page in search
tools\edit_scriptableobject.py,不需要包含命名空间,namespace not required
tools\edit_scriptableobject.py,属性设置支持的类型,supported types for property set
tools\edit_scriptableobject.py,建议仅在需要时启用,recommended only when needed
tools\edit_scriptableobject.py,按条件搜索项目中的,conditional search in project
tools\edit_scriptableobject.py,是否生成资源预览图,whether to generate preview
tools\edit_scriptableobject.py,中用于存储游戏配置,used to store game config
tools\edit_scriptableobject.py,搜索模式或关键词,search mode or keyword
tools\edit_scriptableobject.py,修改会自动标记为,modifications auto mark as
tools\edit_scriptableobject.py,搜索所有玩家数据,search all player data
tools\edit_scriptableobject.py,中的数据资源管理,data asset management
tools\edit_scriptableobject.py,预览生成可能较慢,preview generation may be slow
tools\edit_scriptableobject.py,不提供则自动生成,auto generate if not provided
tools\edit_scriptableobject.py,从脚本类创建新的,create new from script class
tools\edit_scriptableobject.py,本工具提供完整的,tool provides complete
tools\edit_scriptableobject.py,是否强制执行操作,whether to force execution
tools\edit_scriptableobject.py,搜索范围文件夹,search scope folder
tools\edit_scriptableobject.py,工具会自动搜索,tool will search automatically
tools\edit_scriptableobject.py,覆盖现有文件等,overwrite existing files etc
tools\edit_scriptableobject.py,搜索结果的页码,page number of results
tools\edit_scriptableobject.py,不需要命名空间,namespace not needed
tools\edit_scriptableobject.py,使用字符串名称,use string name
tools\edit_scriptableobject.py,使用资源路径,use asset path
tools\edit_scriptableobject.py,创建玩家数据,create player data
tools\edit_scriptableobject.py,更新游戏设置,update game settings
tools\edit_scriptableobject.py,游戏配置管理,game config management
tools\edit_scriptableobject.py,支持基础类型,supports primitive types
tools\edit_scriptableobject.py,查看资源详情,view asset details
tools\edit_scriptableobject.py,并保存到磁盘,save to disk
tools\edit_scriptableobject.py,操作类型详解,operation types in detail
tools\edit_scriptableobject.py,复制关卡配置,duplicate level config
tools\edit_scriptableobject.py,搜索等操作,search and related operations
tools\edit_scriptableobject.py,初始属性值,initial property values
tools\edit_scriptableobject.py,语言本地化,language localization
tools\edit_scriptableobject.py,物品数据库,item database
tools\edit_scriptableobject.py,搜索时使用,used when searching
tools\edit_scriptableobject.py,复制时使用,used when duplicating
tools\edit_scriptableobject.py,创建时必需,required on creation
tools\edit_scriptableobject.py,属性键值对,property key values
tools\edit_scriptableobject.py,信息查询,information query
tools\edit_scriptableobject.py,资源复制,asset duplication
tools\edit_scriptableobject.py,可选参数,optional parameters
tools\edit_scriptableobject.py,属性修改,property modification
tools\edit_scriptableobject.py,关卡设置,level settings
tools\edit_scriptableobject.py,专门管理,specially manage
tools\edit_scriptableobject.py,注意事项,notes
tools\edit_scriptableobject.py,二级工具,secondary tool
tools\edit_scriptableobject.py,波次配置,wave configuration
tools\edit_scriptableobject.py,资源搜索,asset search
tools\edit_scriptableobject.py,获取信息,get information
tools\edit_scriptableobject.py,标准格式,standard format
tools\edit_scriptableobject.py,资源路径,asset path
tools\edit_scriptableobject.py,基础类型,primitive types
tools\edit_scriptableobject.py,生成预览,generate preview
tools\edit_scriptableobject.py,目标路径,target path
tools\edit_scriptableobject.py,主题设置,theme settings
tools\edit_scriptableobject.py,技能配置,skill configuration
tools\edit_scriptableobject.py,关卡编辑,level editing
tools\edit_scriptableobject.py,管理工具,management tool
tools\edit_scriptableobject.py,难度配置,difficulty configuration
tools\edit_scriptableobject.py,提供创建,provide creation
tools\edit_scriptableobject.py,专门用于,specially used for
tools\edit_scriptableobject.py,关卡参数,level parameters
tools\edit_scriptableobject.py,关卡数据,level data
tools\edit_scriptableobject.py,资源引用,asset reference
tools\edit_scriptableobject.py,使用场景,use cases
tools\edit_scriptableobject.py,敌人配置,enemy configuration
tools\edit_scriptableobject.py,资源创建,asset creation
tools\edit_scriptableobject.py,搜索模式,search mode
tools\edit_scriptableobject.py,玩家属性,player attributes
tools\edit_scriptableobject.py,操作类型,operation type
tools\edit_scriptableobject.py,强制执行,force execute
tools\edit_scriptableobject.py,必需参数,required parameter
tools\edit_scriptableobject.py,枚举类型,enum types
tools\edit_scriptableobject.py,属性字典,property dict
tools\edit_scriptableobject.py,页面大小,page size
tools\edit_scriptableobject.py,主要功能,main features
tools\edit_scriptableobject.py,角色数据,character data
tools\edit_scriptableobject.py,递归搜索,recursive search
tools\edit_scriptableobject.py,脚本类名,script class name
tools\edit_scriptableobject.py,要设置的,to set
tools\edit_scriptableobject.py,值范围,value range
tools\edit_scriptableobject.py,四元数,quaternion
tools\edit_scriptableobject.py,编码的,encoded
tools\edit_scriptableobject.py,中的,in
tools\edit_scriptableobject.py,示例,example
tools\edit_scriptableobject.py,路径,path
tools\edit_scriptableobject.py,修改,modify
tools\edit_scriptableobject.py,获取,get
tools\edit_scriptableobject.py,信息,information
tools\edit_scriptableobject.py,数据,data
tools\edit_scriptableobject.py,装备,equipment
tools\edit_scriptableobject.py,资源,asset
tools\edit_scriptableobject.py,颜色,color
tools\edit_scriptableobject.py,属性,property
tools\edit_scriptableobject.py,默认,default
tools\edit_scriptableobject.py,复制,copy
tools\edit_scriptableobject.py,操作,operation
tools\edit_scriptableobject.py,道具,item
tools\edit_scriptableobject.py,开始,start
tools\edit_scriptableobject.py,支持,support
tools\edit_scriptableobject.py,创建,create
tools\edit_scriptableobject.py,类型,type
tools\edit_scriptableobject.py,搜索,search
tools\edit_scriptableobject.py,向量,vector
tools\edit_scriptableobject.py,页码,page
tools\edit_scriptableobject.py,配置,configuration
tools\edit_scriptableobject.py,是,is
tools\edit_scriptableobject.py,从,from
tools\edit_scriptableobject.py,如,such as
tools\edit_scriptableobject.py,等,etc
tools\edit_shader.py,是否自动创建不存在的文件夹,auto create missing folders
tools\edit_shader.py,是否在修改前备份原文件,backup original before modify
tools\edit_shader.py,是否递归搜索子文件夹,recursively search subfolders
tools\edit_shader.py,是否标记资源为已修改,mark asset as dirty
tools\edit_shader.py,是否刷新资源数据库,refresh asset database
tools\edit_shader.py,是否生成平台特定的,generate platform specific
tools\edit_shader.py,是否保存资源到磁盘,save asset to disk
tools\edit_shader.py,是否立即应用更改,apply changes immediately
tools\edit_shader.py,是否检查编译错误,check compile errors
tools\edit_shader.py,是否强制执行操作,whether to force execution
tools\edit_shader.py,是否启用调试模式,enable debug mode
tools\edit_shader.py,删除和获取信息,delete and get info
tools\edit_shader.py,覆盖现有文件等,overwrite existing files etc
tools\edit_shader.py,复制时使用,used when copying
tools\edit_shader.py,创建文件夹,create folder
tools\edit_shader.py,支持的操作,supported operations
tools\edit_shader.py,搜索模式,search mode
tools\edit_shader.py,检查错误,check errors
tools\edit_shader.py,平台特定,platform specific
tools\edit_shader.py,操作类型,operation type
tools\edit_shader.py,验证语法,validate syntax
tools\edit_shader.py,刷新资源,refresh assets
tools\edit_shader.py,标记为脏,mark as dirty
tools\edit_shader.py,代码内容,code content
tools\edit_shader.py,强制执行,force execute
tools\edit_shader.py,管理工具,management tool
tools\edit_shader.py,立即应用,apply immediately
tools\edit_shader.py,标准格式,standard format
tools\edit_shader.py,用于设置,used to set
tools\edit_shader.py,二级工具,secondary tool
tools\edit_shader.py,属性字典,property dict
tools\edit_shader.py,包括创建,including create
tools\edit_shader.py,包含变体,include variants
tools\edit_shader.py,目标路径,target path
tools\edit_shader.py,是否编译,compile or not
tools\edit_shader.py,优化级别,optimization level
tools\edit_shader.py,是否验证,validate or not
tools\edit_shader.py,保存资源,save asset
tools\edit_shader.py,调试模式,debug mode
tools\edit_shader.py,递归搜索,recursive search
tools\edit_shader.py,是否包含,whether to include
tools\edit_shader.py,重命名,rename
tools\edit_shader.py,的属性,property of
tools\edit_shader.py,资源,asset
tools\edit_shader.py,创建,create
tools\edit_shader.py,编译,compile
tools\edit_shader.py,变体,variant
tools\edit_shader.py,管理,manage
tools\edit_shader.py,验证,validate
tools\edit_shader.py,名称,name
tools\edit_shader.py,中的,in
tools\edit_shader.py,删除,delete
tools\edit_shader.py,类型,type
tools\edit_shader.py,信息,information
tools\edit_shader.py,复制,copy
tools\edit_shader.py,搜索,search
tools\edit_shader.py,语法,syntax
tools\edit_shader.py,路径,path
tools\edit_shader.py,代码,code
tools\edit_shader.py,修改,modify
tools\edit_shader.py,移动,move
tools\edit_shader.py,相同,same
tools\edit_shader.py,备份,backup
tools\edit_shader.py,获取,get
tools\edit_shader.py,如,such as
tools\edit_shader.py,与,and
tools\edit_sprite_atlas.py,是否允许旋转精灵以获得更好的打包效果,allow sprite rotation for better packing
tools\edit_sprite_atlas.py,要添加或移除的文件夹路径数组,folder path array to add or remove
tools\edit_sprite_atlas.py,要添加或移除的精灵路径数组,sprite path array to add or remove
tools\edit_sprite_atlas.py,可以设置平台特定的纹理配置,allow platform specific texture config
tools\edit_sprite_atlas.py,将使用平台推荐的默认格式,use platform recommended defaults
tools\edit_sprite_atlas.py,向图集添加精灵或文件夹,add sprites or folders to atlas
tools\edit_sprite_atlas.py,从图集移除精灵或文件夹,remove sprites or folders from atlas
tools\edit_sprite_atlas.py,是否覆盖平台默认设置,override platform defaults
tools\edit_sprite_atlas.py,自动使用平台推荐格式,auto use platform defaults
tools\edit_sprite_atlas.py,该平台的最大纹理尺寸,max texture size for platform
tools\edit_sprite_atlas.py,中精灵图集的创建,creation of sprite atlas in
tools\edit_sprite_atlas.py,平台最大纹理尺寸,platform max texture size
tools\edit_sprite_atlas.py,是否使用紧凑排列,use tight packing
tools\edit_sprite_atlas.py,是否包含子文件夹,include subfolders
tools\edit_sprite_atlas.py,创建新的精灵图集,create new sprite atlas
tools\edit_sprite_atlas.py,仅对某些格式有效,valid only for some formats
tools\edit_sprite_atlas.py,包括平台特定设置,include platform specific settings
tools\edit_sprite_atlas.py,覆盖平台默认设置,override platform defaults
tools\edit_sprite_atlas.py,编辑和管理操作,edit and manage operations
tools\edit_sprite_atlas.py,文件夹路径数组,folder path array
tools\edit_sprite_atlas.py,平衡质量和大小,balance quality and size
tools\edit_sprite_atlas.py,获取图集参数,get atlas parameters
tools\edit_sprite_atlas.py,平台特定设置,platform specific settings
tools\edit_sprite_atlas.py,设置图集参数,set atlas parameters
tools\edit_sprite_atlas.py,图集资源路径,atlas asset path
tools\edit_sprite_atlas.py,平台纹理格式,platform texture format
tools\edit_sprite_atlas.py,精灵路径数组,sprite path array
tools\edit_sprite_atlas.py,目标平台名称,target platform name
tools\edit_sprite_atlas.py,包含子文件夹,include subfolders
tools\edit_sprite_atlas.py,主图集路径,main atlas path
tools\edit_sprite_atlas.py,支持的操作,supported operations
tools\edit_sprite_atlas.py,使用默认值,use defaults
tools\edit_sprite_atlas.py,如果未指定,if not specified
tools\edit_sprite_atlas.py,筛选模式,filter mode
tools\edit_sprite_atlas.py,平台配置,platform config
tools\edit_sprite_atlas.py,完整设置,full settings
tools\edit_sprite_atlas.py,二级工具,secondary tool
tools\edit_sprite_atlas.py,获取参数,get parameters
tools\edit_sprite_atlas.py,过滤模式,filtering mode
tools\edit_sprite_atlas.py,移除精灵,remove sprites
tools\edit_sprite_atlas.py,默认使用,default to
tools\edit_sprite_atlas.py,打包图集,pack atlas
tools\edit_sprite_atlas.py,压缩质量,compression quality
tools\edit_sprite_atlas.py,最大尺寸,max size
tools\edit_sprite_atlas.py,图像间距,texture padding
tools\edit_sprite_atlas.py,紧凑排列,tight packing
tools\edit_sprite_atlas.py,平台名称,platform name
tools\edit_sprite_atlas.py,编辑工具,editing tool
tools\edit_sprite_atlas.py,图集类型,atlas type
tools\edit_sprite_atlas.py,是否生成,generate or not
tools\edit_sprite_atlas.py,是否可读,readable or not
tools\edit_sprite_atlas.py,操作类型,operation type
tools\edit_sprite_atlas.py,允许旋转,allow rotation
tools\edit_sprite_atlas.py,压缩格式,compression format
tools\edit_sprite_atlas.py,设置参数,set parameters
tools\edit_sprite_atlas.py,纹理格式,texture format
tools\edit_sprite_atlas.py,添加精灵,add sprites
tools\edit_sprite_atlas.py,主图集,main atlas
tools\edit_sprite_atlas.py,相对于,relative to
tools\edit_sprite_atlas.py,参数时,when setting parameters
tools\edit_sprite_atlas.py,仅设置,set only
tools\edit_sprite_atlas.py,当提供此参数时,when this parameter is provided
tools\edit_sprite_atlas.py,默认为,defaults to
tools\edit_sprite_atlas.py,时有效,effective when
tools\edit_sprite_atlas.py,贴图,textures
tools\edit_sprite_atlas.py,示例,example
tools\edit_sprite_atlas.py,变体,variant
tools\edit_sprite_atlas.py,生成,generate
tools\edit_sprite_atlas.py,例如,for example
tools\edit_sprite_atlas.py,可读,readable
tools\edit_sprite_atlas.py,图集,atlas
tools\edit_sprite_atlas.py,默认,default
tools\edit_sprite_atlas.py,处理,process
tools\edit_sprite_atlas.py,像素,pixels
tools\edit_sprite_atlas.py,创建,create
tools\edit_sprite_atlas.py,仅当,only when
tools\edit_sprite_atlas.py,推荐,recommended
tools\edit_sprite_atlas.py,等,etc
tools\edit_sprite_atlas.py,和,and
tools\edit_sprite_atlas.py,为,as
tools\edit_terrain.py,平滑地形时的平滑强度,smoothing strength for terrain
tools\edit_terrain.py,要操作的纹理层索引,texture layer index to operate
tools\edit_terrain.py,平坦化时的目标高度,target height for flatten
tools\edit_terrain.py,高度图数据二维数组,heightmap data 2D array
tools\edit_terrain.py,要执行的地形操作,terrain operation to perform
tools\edit_terrain.py,高度图导入导出等,heightmap import export etc
tools\edit_terrain.py,是否强制执行操作,whether to force execution
tools\edit_terrain.py,高度图文件路径,heightmap file path
tools\edit_terrain.py,高度图导出格式,heightmap export format
tools\edit_terrain.py,对象的层级路径,object hierarchy path
tools\edit_terrain.py,地形的编辑操作,terrain editing operations
tools\edit_terrain.py,覆盖现有文件等,overwrite existing files etc
tools\edit_terrain.py,纹理层配置字典,texture layer config dict
tools\edit_terrain.py,高度图分辨率,heightmap resolution
tools\edit_terrain.py,地形编辑工具,terrain editing tool
tools\edit_terrain.py,设置地形高度,set terrain height
tools\edit_terrain.py,获取地形信息,get terrain info
tools\edit_terrain.py,设置地形尺寸,set terrain size
tools\edit_terrain.py,纹理层索引,texture layer index
tools\edit_terrain.py,移除纹理层,remove texture layer
tools\edit_terrain.py,导入高度图,import heightmap
tools\edit_terrain.py,高度图文件,heightmap file
tools\edit_terrain.py,纹理层配置,texture layer config
tools\edit_terrain.py,高度图数据,heightmap data
tools\edit_terrain.py,添加纹理层,add texture layer
tools\edit_terrain.py,导出高度图,export heightmap
tools\edit_terrain.py,平坦化地形,flatten terrain
tools\edit_terrain.py,支持的操作,supported operations
tools\edit_terrain.py,对象路径,object path
tools\edit_terrain.py,要修改的,to modify
tools\edit_terrain.py,绘制纹理,paint texture
tools\edit_terrain.py,操作类型,operation type
tools\edit_terrain.py,地形尺寸,terrain size
tools\edit_terrain.py,强制执行,force execute
tools\edit_terrain.py,清除树木,clear trees
tools\edit_terrain.py,地形属性,terrain properties
tools\edit_terrain.py,用于创建,used to create
tools\edit_terrain.py,二级工具,secondary tool
tools\edit_terrain.py,属性字典,property dict
tools\edit_terrain.py,包括创建,including create
tools\edit_terrain.py,创建新的,create new
tools\edit_terrain.py,位置坐标,position coordinates
tools\edit_terrain.py,资源路径,asset path
tools\edit_terrain.py,清除细节,clear details
tools\edit_terrain.py,导出格式,export format
tools\edit_terrain.py,平滑因子,smoothing factor
tools\edit_terrain.py,平滑地形,smooth terrain
tools\edit_terrain.py,必须是,must be
tools\edit_terrain.py,值范围,value range
tools\edit_terrain.py,高度值,height value
tools\edit_terrain.py,的实例,instance of
tools\edit_terrain.py,导出用,for export
tools\edit_terrain.py,场景中,in scene
tools\edit_terrain.py,实例,instance
tools\edit_terrain.py,属性,property
tools\edit_terrain.py,位置,position
tools\edit_terrain.py,尺寸,size
tools\edit_terrain.py,处理,process
tools\edit_terrain.py,草等,grass etc
tools\edit_terrain.py,导入,import
tools\edit_terrain.py,路径,path
tools\edit_terrain.py,修改,modify
tools\edit_terrain.py,的幂,power of
tools\edit_terrain.py,时,when
tools\edit_texture.py,纹理导入设置修改工具,texture import settings editor
tools\edit_texture.py,中纹理资源的导入设置,import settings of texture assets
tools\edit_texture.py,获取当前纹理设置,get current texture settings
tools\edit_texture.py,调整压缩质量等,adjust compression quality etc
tools\edit_texture.py,生成物理形状,generate physics shape
tools\edit_texture.py,每单位像素数,pixels per unit
tools\edit_texture.py,最大纹理尺寸,max texture size
tools\edit_texture.py,纹理资源路径,texture asset path
tools\edit_texture.py,设置纹理类型,set texture type
tools\edit_texture.py,包括设置为,including set to
tools\edit_texture.py,支持的操作,supported operations
tools\edit_texture.py,过滤模式,filter mode
tools\edit_texture.py,操作类型,operation type
tools\edit_texture.py,包装模式,wrap mode
tools\edit_texture.py,压缩格式,compression format
tools\edit_texture.py,二级工具,secondary tool
tools\edit_texture.py,纹理类型,texture type
tools\edit_texture.py,网格类型,mesh type
tools\edit_texture.py,详细参数,detailed parameters
tools\edit_texture.py,轴心点,pivot
tools\edit_texture.py,可读写,read write
tools\edit_texture.py,相对于,relative to
tools\edit_texture.py,模式,mode
tools\edit_texture.py,贴图,texture
tools\edit_texture.py,生成,generate
tools\edit_texture.py,类型,type
tools\edit_texture.py,纹理,texture
tools\edit_texture.py,设置,set
tools\edit_texture.py,修改,modify
tools\figma_manage.py,用于从指定节点开始扫描所有可下载的子节点,scan downloadable children from given node
tools\figma_manage.py,从根节点递归扫描所有可下载的图片节点,recursively scan all downloadable image nodes from root
tools\figma_manage.py,智能扫描该节点及其所有子节点,intelligently scan the node and its children
tools\figma_manage.py,是否自动将下载的图片转换为,auto convert downloaded images to
tools\figma_manage.py,自动转换和管理下载的资源,auto convert and manage downloaded assets
